Glock-18 | Water Elemental (Field-Tested),5978622676
Blackwolf | Sabre,5974109917
Rezan The Ready | Sabre,3608084535
R8 Revolver | Fade (Field-Tested),5977856996
Desert Eagle | Mecha Industries (Factory New),5980968148
Glock-18 | Vogue (Minimal Wear),5973705277
P250 | Boreal Forest (Minimal Wear),310777712
Five-SeveN | Hybrid (Field-Tested),5980965615
M4A1-S | Night Terror (Factory New),5978629583
Buckshot | NSWC SEAL,3729718253
Sticker | Lotus (Glitter),5971012006
AWP | Pit Viper (Minimal Wear),310780641
Winter Offensive Weapon Case,384801285
AK-47 | Aquamarine Revenge (Well-Worn),5980070845
Five-SeveN | Hybrid (Minimal Wear),5980972416
Sir Bloody Silent Darryl | The Professionals,4141779344
M4A4 | Neo-Noir (Battle-Scarred),2736244761
Sawed-Off | Wasteland Princess (Minimal Wear),5981120190
"Music Kit | The Verkkars, EZ4ENCE",5980966046
Desert Eagle | Meteorite (Minimal Wear),5980976049
Sticker | MOUZ (Glitter) | Copenhagen 2024,5965129213
USP-S | Check Engine (Field-Tested),3035591474
AK-47 | Uncharted (Field-Tested),5346123363
StatTrak™ USP-S | Ticket to Hell (Field-Tested),5379496661
Sticker | GamerLegion (Holo) | Copenhagen 2024,5978622070
MP5-SD | Kitbash (Field-Tested),3955267115
AUG | Surveillance (Factory New),4141779079
B Squadron Officer | SAS,5978628496
Desert Eagle | Code Red (Field-Tested),2962147616
Sticker | Copenhagen Flames (Holo) | Stockholm 2021,4614639234
Sawed-Off | Analog Input (Field-Tested),5980973329
M4A4 | Poly Mag (Minimal Wear),5968225694
MP9 | Food Chain (Field-Tested),4428772131
M4A1-S | Flashback (Well-Worn),2076470539
Arno The Overgrown | Guerrilla Warfare,5967820806
AK-47 | Safety Net (Minimal Wear),3035597843
AK-47 | Safety Net (Field-Tested),3035691331
AK-47 | Slate (Minimal Wear),5979450978
Sticker | FaZe Clan (Glitter) | Copenhagen 2024,5799819975
M4A4 | Magnesium (Minimal Wear),3113364444
Sticker | Legacy (Holo) | Copenhagen 2024,5980976749
AWP | Duality (Battle-Scarred),5976155535
MAC-10 | Silver (Factory New),469443670
MP9 | Starlight Protector (Field-Tested),4726077814
M4A4 | Buzz Kill (Field-Tested),5328906760
M4A1-S | Chantico's Fire (Well-Worn),1704739900
Glock-18 | Candy Apple (Minimal Wear),5958631099
Sawed-Off | Brake Light (Factory New),3035572767
AWP | PAW (Minimal Wear),5980977651
Glock-18 | Umbral Rabbit (Minimal Wear),5199656634
AWP | Capillary (Field-Tested),3770669159
Sticker | Eternal Fire (Glitter) | Copenhagen 2024,5980974002
StatTrak™ AWP | Capillary (Field-Tested),5979866012
Desert Eagle | Light Rail (Minimal Wear),5968231695
M4A1-S | Nitro (Minimal Wear),310783170
AK-47 | Elite Build (Battle-Scarred),5830469436
Sticker | Complexity Gaming (Holo) | Copenhagen 2024,5980972569
R8 Revolver | Amber Fade (Field-Tested),1432181560
M4A4 | Desolate Space (Well-Worn),5980973518
M4A1-S | Nightmare (Minimal Wear),5877960104
Berlin 2019 Returning Challengers Autograph Capsule,3472108653
Osiris | Elite Crew,3729346573
Copenhagen 2024 Mirage Souvenir Package,5817486508
Galil AR | Connexion (Field-Tested),5980967894
MP7 | Just Smile (Field-Tested),5721069283
Desert Eagle | Conspiracy (MiAWP | Capillary (Minimal Wear),3770669330
StatTrak™ AWP | Atheris (Minimal Wear),5339222663
AK-47 | Safari Mesh (Field-Tested),4620331427
FAMAS | Meow 36 (Factory New),4910472428
M249 | Downtown (Field-Tested),5980965196
M4A1-S | Emphorosaur-S (Factory New),5199667760
Soldier | Phoenix,3608084538
Desert Eagle | Trigger Discipline (Minimal Wear),5961067651
USP-S | Flashback (Field-Tested),5964540537
R8 Revolver | Crazy 8 (Field-Tested),4910472324
Sticker | Natus Vincere (Glitter) | Copenhagen 2024,5799820430
Glock-18 | Umbral Rabbit (Field-Tested),5199656210
StatTrak™ M4A1-S | Emphorosaur-S (Field-Tested),5199657204
AWP | Worm God (Minimal Wear),4320091408
StatTrak™ AK-47 | Nightwish (Battle-Scarred),4726084198
M4A4 | Converter (Factory New),3035616306
Souvenir USP-S | Purple DDPAT (Field-Tested),5982280721
Sticker | Stalking Prey,5958633912
M4A4 | In Living Color (Minimal Wear),4428759268
USP-S | Night Ops (Field-Tested),310780496
AWP | Worm God (Field-Tested),937245791
AWP | PAW (Field-Tested),5950278359
PP-Bizon | Brass (Field-Tested),310782279
Sticker | ECSTATIC (Glitter) | Copenhagen 2024,5980975816
AWP | Acheron (Field-Tested),5956520176
Sawed-Off | Analog Input (Factory New),5980969987
Sticker | kNgV- | Berlin 2019,3485692614
